run_group,subset,instances,table,first_method,second_method,paired_window_sizes,first_mean_rmse,first_median_rmse,second_mean_rmse,change_of_mean_rmse_pct,wins,ties,losses,wilcoxon_p,holm_p,cliff_delta
8,10%,602,consist_strat_vs_baseline,Consist-Strat,Repo×Consist,6,0.025214,,0.031758,-20.61,5,0,1,0.0625,0.1562,0.667
8,10%,602,centroid_pooled_vs_consist_strat,Centroid Pooled,Consist-Strat,6,0.025754,,0.025214,2.14,2,0,4,0.4375,1.0000,-0.333
8,10%,602,centroid_pooled_vs_random,Centroid Pooled,Random,7,0.026803,,0.050547,-46.97,7,0,0,0.0156,0.1562,1.000
8,20%,602,baseline_rmse,Random,,7,0.033599,0.033473,,,,,,,,
8,20%,602,baseline_rmse,Diff-Strat,,7,0.018432,0.018165,,,,,,,,
8,20%,602,baseline_rmse,Consist-Strat,,6,0.016687,0.016533,,,,,,,,
8,20%,602,baseline_rmse,Repo-Strat,,7,0.037715,0.037505,,,,,,,,
8,20%,602,baseline_rmse,Repo×Diff,,7,0.016978,0.016017,,,,,,,,
8,20%,602,baseline_rmse,Repo×Consist,,6,0.023742,0.022933,,,,,,,,
8,20%,602,consist_strat_vs_baseline,Consist-Strat,Random,6,0.016687,,0.033309,-49.90,6,0,0,0.0312,0.1562,1.000
8,20%,602,consist_strat_vs_baseline,Consist-Strat,Diff-Strat,6,0.016687,,0.017911,-6.83,5,0,1,0.0625,0.1562,0.667
8,20%,602,consist_strat_vs_baseline,Consist-Strat,Repo-Strat,6,0.016687,,0.036826,-54.69,6,0,0,0.0312,0.1562,1.000
8,20%,602,consist_strat_vs_baseline,Consist-Strat,Repo×Diff,6,0.016687,,0.015587,7.05,1,0,5,0.3125,0.3125,-0.667
8,20%,602,consist_strat_vs_baseline,Consist-Strat,Repo×Consist,6,0.016687,,0.023742,-29.72,6,0,0,0.0312,0.1562,1.000
8,20%,602,centroid_pooled_vs_consist_strat,Centroid Pooled,Consist-Strat,6,0.018973,,0.016687,13.70,0,0,6,0.0312,0.3125,-1.000
8,20%,602,centroid_pooled_vs_random,Centroid Pooled,Random,7,0.019795,,0.033599,-41.08,7,0,0,0.0156,0.1562,1.000
8,30%,602,baseline_rmse,Random,,7,0.025706,0.025620,,,,,,,,
8,30%,602,baseline_rmse,Diff-Strat,,7,0.013970,0.013856,,,,,,,,
8,30%,602,baseline_rmse,Consist-Strat,,6,0.012693,0.012290,,,,,,,,
8,30%,602,baseline_rmse,Repo-Strat,,7,0.032643,0.032475,,,,,,,,
8,30%,602,baseline_rmse,Repo×Diff,,7,0.013380,0.012970,,,,,,,,
8,30%,602,baseline_rmse,Repo×Consist,,6,0.010723,0.011343,,,,,,,,
8,30%,602,consist_strat_vs_baseline,Consist-Strat,Random,6,0.012693,,0.025602,-50.42,6,0,0,0.0312,0.1562,1.000
8,30%,602,consist_strat_vs_baseline,Consist-Strat,Diff-Strat,6,0.012693,,0.013559,-6.39,5,0,1,0.0625,0.1875,0.667
8,30%,602,consist_strat_vs_baseline,Consist-Strat,Repo-Strat,6,0.012693,,0.031422,-59.60,6,0,0,0.0312,0.1562,1.000
8,30%,602,consist_strat_vs_baseline,Consist-Strat,Repo×Diff,6,0.012693,,0.012303,3.18,3,0,3,0.6875,0.6875,0.000
8,30%,602,consist_strat_vs_baseline,Consist-Strat,Repo×Consist,6,0.012693,,0.010723,18.37,1,0,5,0.1562,0.3125,-0.667
8,30%,602,centroid_pooled_vs_consist_strat,Centroid Pooled,Consist-Strat,6,0.012954,,0.012693,2.05,2,0,4,0.8438,1.0000,-0.333
8,30%,602,centroid_pooled_vs_random,Centroid Pooled,Random,7,0.014090,,0.025706,-45.19,7,0,0,0.0156,0.1562,1.000
9,5%,595,baseline_rmse,Random,,8,0.074345,0.074230,,,,,,,,
9,5%,595,baseline_rmse,Diff-Strat,,8,0.041857,0.041204,,,,,,,,
